"DATE","WS_2","WS_3","YEAR"
1962-09-24,0,0,"1962"
1962-09-25,2.5,2.5,"1962"
1962-09-26,6.6,6.9,"1962"
1962-09-27,7.9,7.9,"1962"
1962-09-28,0.8,0.8,"1962"
1962-09-29,1,1,"1962"
1962-09-30,0.3,0.3,"1962"
1962-10-01,0,0,"1962"
1962-10-02,0,0,"1962"
1962-10-03,0,0,"1962"
1962-10-04,0,0,"1962"
1962-10-05,39.9,39.6,"1962"
1962-10-06,105.7,105.7,"1962"
1962-10-07,19.8,19.8,"1962"
1962-10-08,8.9,8.6,"1962"
1962-10-09,4.8,5.1,"1962"
1962-10-10,4.1,4.1,"1962"
1962-10-11,0.3,0.3,"1962"
1962-10-12,7.4,7.1,"1962"
1962-10-13,0,0,"1962"
1962-10-14,0.5,0.5,"1962"
1962-10-15,0,0,"1962"
1962-10-16,0,0,"1962"
1962-10-17,1.5,1.5,"1962"
1962-10-18,0,0,"1962"
1962-10-19,0,0,"1962"
1962-10-20,0,0,"1962"
1962-10-21,6.1,6.1,"1962"
1962-10-22,0,0,"1962"
1962-10-23,10.2,9.9,"1962"
1962-10-24,0.3,0.3,"1962"
1962-10-25,0.8,0.8,"1962"
1962-10-26,0,0,"1962"
1962-10-27,1.8,1.5,"1962"
1962-10-28,4.1,3.8,"1962"
1962-10-29,2,1.8,"1962"
1962-10-30,7.1,7.1,"1962"
1962-10-31,29,29.5,"1962"
1962-11-01,6.9,6.9,"1962"
1962-11-02,0,0,"1962"
1962-11-03,7.6,7.6,"1962"
1962-11-04,2,2,"1962"
1962-11-05,0.5,0.5,"1962"
1962-11-06,0,0,"1962"
1962-11-07,0,0,"1962"
1962-11-08,0,0,"1962"
1962-11-09,0,0,"1962"
1962-11-10,22.6,22.6,"1962"
1962-11-11,10.9,11.2,"1962"
1962-11-12,0,0,"1962"
1962-11-13,0,0,"1962"
1962-11-14,0,0,"1962"
1962-11-15,0,0,"1962"
1962-11-16,0,0,"1962"
1962-11-17,1.3,1.5,"1962"
1962-11-18,1.3,1.5,"1962"
1962-11-19,0,0,"1962"
1962-11-20,0,0,"1962"
1962-11-21,1,1,"1962"
1962-11-22,20.3,21.1,"1962"
1962-11-23,0,0,"1962"
1962-11-24,3.3,3.3,"1962"
1962-11-25,0,0,"1962"
1962-11-26,0,0,"1962"
1962-11-27,0,0,"1962"
1962-11-28,0,0,"1962"
1962-11-29,0,0,"1962"
1962-11-30,0,0,"1962"
1962-12-01,0,0,"1962"
1962-12-02,0,0,"1962"
1962-12-03,0,0,"1962"
1962-12-04,0,0,"1962"
1962-12-05,2.5,2.5,"1962"
1962-12-06,19.3,20.1,"1962"
1962-12-07,2.3,2.3,"1962"
1962-12-08,1,1,"1962"
1962-12-09,5.6,5.6,"1962"
1962-12-10,8.6,8.9,"1962"
1962-12-11,0,0,"1962"
1962-12-12,0,0,"1962"
1962-12-13,0,0,"1962"
1962-12-14,1.3,1.3,"1962"
1962-12-15,0,0,"1962"
1962-12-16,0,0,"1962"
1962-12-17,0,0,"1962"
1962-12-18,0,0,"1962"
1962-12-19,0,0,"1962"
1962-12-20,0,0,"1962"
1962-12-21,0,0,"1962"
1962-12-22,18.8,20.3,"1962"
1962-12-23,1,1,"1962"
1962-12-24,0,0,"1962"
1962-12-25,0,0,"1962"
1962-12-26,9.4,9.7,"1962"
1962-12-27,0,0,"1962"
1962-12-28,0,0,"1962"
1962-12-29,8.9,9.1,"1962"
1962-12-30,13.2,13.5,"1962"
1962-12-31,0,0,"1962"
1963-01-01,0,0,"1963"
1963-01-02,0,0,"1963"
1963-01-03,0,0,"1963"
1963-01-04,0,0,"1963"
1963-01-05,0,0,"1963"
1963-01-06,0,0,"1963"
1963-01-07,0,0,"1963"
1963-01-08,0,0,"1963"
1963-01-09,1,1,"1963"
1963-01-10,0,0,"1963"
1963-01-11,6.6,6.9,"1963"
1963-01-12,9.7,10.2,"1963"
1963-01-13,17.3,18.3,"1963"
